system_time,camera_time,pos_x_cm,pos_y_cm,pos_z_cm,roll_deg,pitch_deg,yaw_deg,detection_confidence
1742380410.8972812,8895.015064,-407.68907540371384,-699.4808332858414,5553.033509914494,-171.89744055092055,-21.22202359058829,85.88622918351825,0.040130173843483226
1742380411.078073,8895.190902,-468.54487075785903,-766.1539688108954,5980.903654235453,179.31059596969408,2.2016563142919456,84.02388139787087,0.04242773443822225
1742380411.249615,8895.362941,-543.7774010491253,-846.2173839745823,6469.463318518936,-177.82733761201578,-18.803455214545203,86.09553750471711,0.0459802937088082
1742380411.4165807,8895.535093,-518.7434179491296,-871.7806329955469,6415.824897557294,174.3536128948773,12.803669907470201,88.4829273843657,0.04647210749936757
1742380411.7644508,8895.882933,-504.4754369433322,-899.4187280843498,6577.052261304563,-170.8659231434617,-13.337193690978042,87.54574601479415,0.04683809282856026
1742380411.9432645,8896.05498,-464.4983601249499,-884.5014513138187,6590.351063950998,-177.0472457634391,-12.298857316227426,88.31145978012789,0.04645895855647303
1742380412.1220455,8896.226945,-354.35734665544624,-830.0537017460196,6226.293455354452,-173.6119342086561,-30.018024695033137,90.59455921291473,0.04569736755173822
1742380412.285874,8896.402921,-270.5480487460888,-839.5092486629504,6275.88968728259,-174.5638258919805,-23.059874488634794,87.79368558438358,0.04498580036143911
1742380412.462183,8896.574957,-146.10441526685574,-786.7710594860987,5808.447649199531,-174.09984098258028,-22.41429219142997,88.6023641780394,0.041685835062795745
1742380412.6320596,8896.74698,-92.03865048041237,-800.6867013174495,5823.232361516393,-175.68797196780042,-7.929885467868012,91.81007680910375,0.041075798452120685
1742380412.810307,8896.922903,-51.11561667003534,-786.4613474729106,5590.4933397698005,179.7551617518494,-20.588124168471722,90.98766606662112,0.039915091508374294
1742380412.9785008,8897.094923,-10.838398662621564,-773.4299218183203,5485.79713962502,174.17360409078555,-8.78728699516208,90.04974532227652,0.038833047257411595
1742380413.1446946,8897.266971000001,29.77501330177607,-742.6068046636931,5282.244334069719,177.83169439431887,7.744595838555238,90.91460821673265,0.038036036178517654
1742380413.3219955,8897.442888,61.89940759560819,-743.4398148324165,5140.53469856372,178.95154452276182,12.122764816145656,91.05239889833575,0.03751778700815814
